,0
0,3.4659623895362235
1,3.160167424131829
2,2.6539134306091943
3,2.111127241060038
4,1.65714572738616
5,1.4672681729989945
6,1.243328760916597
7,1.1108103330780468
8,0.7827416839797817
9,0.3750233938811056
10,0.20622789887072737
11,0.16031515058521903
12,5.013591570319894e-17
